mt20Id,url,title,genre_hint,genre_norm,is_musical,공연기간,공연장소,공연시간,관람연령,티켓가격,출연진,창작자,제작진,주최·주관,기획·제작,최종수정
PF253421,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253421,호두까기인형 [평촌],뮤지컬,뮤지컬,True,2024.12.25(수) ~ 2024.12.25(수),평촌아트홀,"수요일(11:00,14:00,16:00)",20개월 이상,"전석 50,000원",해당정보 없음,,해당정보 없음,대영뮤지컬컴퍼니(대영극단)(주최),해당정보 없음,2024.11.12
PF253427,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253427,피터팬 [양산],뮤지컬,뮤지컬,True,2025.01.05(일) ~ 2025.01.05(일),양산문화예술회관 대공연장,"일요일(11:00,14:00)",전체 관람가,"사전예약 24,800원",해당정보 없음,,해당정보 없음,(주)극단희망(주최),해당정보 없음,2024.11.18
PF253429,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253429,넌센스 [보령],뮤지컬,뮤지컬,True,2024.11.22(금) ~ 2024.11.23(토),보령문화예술회관 대공연장,금요일(19:00) / 토요일(14:00),만 6세 이상,"R석 10,000원 / S석 10,000원 / A석 7,000원",해당정보 없음,,해당정보 없음,보령시청(주최·주관),(주)뮤지컬넌센스(제작),2024.11.12
PF253430,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253430,호두까기인형 [계룡],뮤지컬,뮤지컬,True,2024.12.28(토) ~ 2024.12.28(토),계룡문화예술의전당 대공연장,"토요일(11:00,14:00)",전체 관람가,"사전예약 24,800원",해당정보 없음,,해당정보 없음,(주)극단희망(주최),해당정보 없음,2024.11.18
PF253435,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253435,인간탐구생활 [삼척],뮤지컬,뮤지컬,True,2024.11.30(토) ~ 2024.11.30(토),삼척문화예술회관 대공연장,토요일(17:00),만 12세 이상,"전석 10,000원","김민강, 박혜원, 도해, 반예찬, 손광혁",,"한소영, 남현정, 유수진 등",(주)한다프로덕션(주관) / 삼척시청(주최·주관),해당정보 없음,2024.11.12
PF253436,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253436,단야 벽골제 사랑이야기 [김제],뮤지컬,뮤지컬,True,2024.11.15(금) ~ 2024.11.15(금),김제문화예술회관 대공연장,금요일(19:00),만 7세 이상,"전석 7,000원","이정인, 이건일, 고조영, 정준모, 오민혁, 공선민, 김연재 등",,"김재원, 조승철, 장인숙 등",(사)드림필(주관) / (재)전라북도문화관광재단(주관) / 김제시(김제시청)(주관) / 전북특별자치도청(주최),해당정보 없음,2024.11.12
PF253439,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253439,"도와줘요, 엔피씨!",뮤지컬,뮤지컬,True,2024.11.28(목) ~ 2024.11.30(토),대학로 이음센터(한국장애인문화예술원) 이음홀,목요일 ~ 금요일(19:30) / 토요일(16:00),만 7세 이상,"전석 20,000원","오지우, 금민정, 한승우, 최준호, 주은아, 박미용, 양수경 등",,"좌동엽, 서진희, 이상우 등",장애인문화예술 판(주최·주관),해당정보 없음,2024.12.18
PF253456,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253456,존 카메론 미첼 내한 공연: John Cameron Mitchell @ X-mas,뮤지컬,뮤지컬,True,2024.12.24(화) ~ 2024.12.25(수),블루스퀘어 우리WON뱅킹홀(구. SOL트래블홀),화요일(20:00) / 공휴일(16:00),만 13세 이상,"VIP석 150,000원 / R석 130,000원","존 카메론 미첼, 오지민 등",,해당정보 없음,(주)쇼노트(주최·주관),(주)쇼노트(제작),2024.12.18
PF253459,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253459,인간탐구생활 [영천],뮤지컬,뮤지컬,True,2024.11.23(토) ~ 2024.11.23(토),영천시민회관 스타홀,"금요일 ~ 토요일(14:00,19:00)",만 7세 이상,"전석 10,000원","김민강, 박혜원, 도해, 반예찬, 손광혁",,"한소영, 남현정, 장우성 등",(재)예술경영지원센터(주최) / (주)한다프로덕션(주관) / 영천시청(주관),해당정보 없음,2024.12.06
PF253486,https://kopis.or.kr/por/db/pblprfr/pblprfrView.do?menuId=MNU_00020&mt20Id=PF253486,알라딘 [대구],뮤지컬,뮤지컬,True,2025.02.01(토) ~ 2025.02.02(일),롯데백화점 문화홀 [대구] 문화홀,"토요일(11:00,14:00,16:00) / 일요일(11:00,14:00) / *토 11:00, 14:00, 16:00 / 일 11:00, 14:00",전체 관람가,"전석 35,000원",해당정보 없음,,해당정보 없음,탑컬쳐(주최·주관),극단 이후(제작),2024.11.18
